order_id,customer_id,order_ts,amount,currency,channel,status
O0001,C001,2025-12-31T15:25:00Z,430.71,USD,web,PAID
O0002,C007,2025-12-29T22:43:00Z,395.17,USD,store,PAID
O0003,C009,2025-12-28T11:21:00Z,464.11,USD,store,CANCELLED
O0004,C007,2025-12-29T10:26:00Z,281.75,USD,web,PAID
O0005,C009,2025-12-31T06:37:00Z,381.46,USD,store,REFUNDED
O0006,C004,2025-12-28T20:39:00Z,105.37,USD,store,PAID
O0007,C005,2025-12-25T12:09:00Z,344.69,USD,store,REFUNDED
O0008,C008,2025-12-28T07:53:00Z,240.08,USD,mobile,PAID
O0009,C005,2025-12-26T15:28:00Z,121.19,USD,mobile,PAID
O0010,C007,2025-12-26T19:37:00Z,163.06,USD,store,CANCELLED
O0011,C005,2025-12-31T19:22:00Z,151.28,USD,web,PAID
O0012,C007,2025-12-31T04:47:00Z,395.59,USD,web,PAID
O0013,C005,2025-12-30T06:46:00Z,234.87,USD,mobile,PAID
O0014,C006,2025-12-26T02:25:00Z,240.84,USD,store,PAID
O0015,C001,2025-12-31T13:37:00Z,281.25,USD,web,PAID
O0016,C006,2025-12-29T00:20:00Z,115.15,USD,mobile,PAID
O0017,C010,2025-12-31T00:13:00Z,38.57,USD,store,PAID
O0018,C003,2025-12-28T15:07:00Z,394.11,USD,mobile,PAID
O0019,C005,2025-12-28T09:48:00Z,91.82,USD,mobile,PAID
O0020,C001,2025-12-31T16:41:00Z,89.02,USD,mobile,PAID
O0021,C010,2025-12-26T11:41:00Z,228.62,USD,web,PAID
O0022,C004,2025-12-30T14:35:00Z,52.95,USD,mobile,PAID
O0023,C004,2026-01-01T08:53:00Z,352.86,USD,mobile,REFUNDED
O0024,C003,2025-12-27T17:15:00Z,230.19,USD,store,PAID
O0025,C001,2025-12-25T10:53:00Z,233.33,USD,store,PAID
O0026,C003,2025-12-31T13:32:00Z,429.74,USD,web,PAID
O0027,C005,2025-12-30T15:25:00Z,317.38,USD,web,PAID
O0028,C006,2025-12-30T01:44:00Z,30.39,USD,mobile,PAID
O0029,C002,2025-12-27T15:08:00Z,60.67,USD,web,PAID
O0030,C006,2025-12-27T21:58:00Z,179.97,USD,mobile,PAID
O0031,C003,2025-12-25T03:56:00Z,246.33,USD,mobile,PAID
O0032,C008,2025-12-27T11:39:00Z,469.53,USD,mobile,PAID
O0033,C006,2025-12-28T18:15:00Z,172.47,USD,mobile,PAID
O0034,C006,2025-12-27T00:21:00Z,449.12,USD,store,PAID
O0035,C004,2025-12-29T07:06:00Z,339.4,USD,web,PAID
O0036,C003,2025-12-30T16:55:00Z,62.79,USD,store,REFUNDED
O0037,C010,2025-12-26T05:02:00Z,281.88,USD,mobile,CANCELLED
O0038,C004,2025-12-28T18:56:00Z,476.92,USD,web,PAID
O0039,C007,2025-12-29T20:15:00Z,468.66,USD,web,PAID
O0040,C002,2025-12-27T10:57:00Z,446.92,USD,store,PAID
